sla_embb,sla_urllc,sla_mmtc,sla_avg,throughput_mean,bandwidth_util,fairness,decision_latency_mean,total_tokens,seed,scenario,method,total_time
0.23,0.81,0.17,0.4033333333333333,4641.999333333333,0.5238725,0.6613813976600261,7.939930367469787,125204,42,steady,M5-PA,793.9930367469788
0.19,0.89,0.12,0.4000000000000001,5340.098000000001,0.545935,0.5696653216235463,8.19065057039261,124952,123,steady,M5-PA,819.0650570392609
0.04,0.94,0.13,0.36999999999999994,5140.372,0.7521625000000001,0.4552710342534086,7.994392068386078,124882,42,burst,M5-PA,799.4392068386078
0.19,0.83,0.17,0.39666666666666667,5652.593999999999,0.7636775,0.6261219436706901,7.918538017272949,125104,123,burst,M5-PA,791.8538017272949
0.35,0.7,0.63,0.5599999999999999,4325.683290622106,0.5238725,0.9320388349514561,8.087329132556915,125406,42,steady,M5-PC,808.7329132556915
0.31,0.73,0.82,0.62,4779.06879115044,0.545935,0.8861226371599816,7.977931478023529,125563,123,steady,M5-PC,797.7931478023529
0.24,0.82,0.72,0.5933333333333334,4743.485653988439,0.7521625000000001,0.8459895332692515,8.108027484416962,125109,42,burst,M5-PC,810.8027484416962
0.24,0.71,0.63,0.5266666666666667,5105.025779577541,0.7636775,0.8680714931497324,7.665034470558166,125338,123,burst,M5-PC,766.5034470558167
0.51,0.51,0.07,0.36333333333333334,4524.630191781024,0.5238725,0.754205548149559,8.057333073616029,125661,42,steady,M5-NoNeg,805.7333073616028
0.6,0.46,0.2,0.42,5179.002752897758,0.545935,0.8652714192282538,8.01949893951416,125752,123,steady,M5-NoNeg,801.949893951416
0.41,0.58,0.2,0.39666666666666667,5096.14038110866,0.7521625000000001,0.8669115396388123,7.956871643066406,125551,42,burst,M5-NoNeg,795.6871643066406
0.22,0.84,0.51,0.5233333333333333,5190.4019337446625,0.7636775,0.810209381060382,7.7348376703262325,125395,123,burst,M5-NoNeg,773.4837670326233
